date,actor1,actor2,goldstein_code,issue,sentence_number,no_idea,goldstein_score,event_description,modality,polarity,subjectivity,orignal_text,num
19070517,"""ROSAMOND""","""THIS""",010,,middlemarch_sent2693_0,NULL,0.0,"make statement, not specified below",0.25,0.333333333333,0.5,"Rosamond looked mildly neutral as she said this, rising to ring the bell, and then crossing to her work-table.",1
19070521,"""THAT.SOMETHING""","""YOU""",140,,middlemarch_sent2697_0,NULL,-6.5,"engage in political dissent, not specified below",0.75,-0.0175,0.315833333333,"""But I mean, before that.  Something had vexed you before you came in, you looked cross.  And that made you begin to dispute with Mr. Ladislaw.  You hurt me very much when you look so, Tertius.""",2
19060627,"""WHICH""","""WE""",030,,middlemarch_sent2369_0,NULL,4.0,"express intent to cooperate, not specified below",0.583333333333,0.0,0.5,"""Which means,"" said Mrs. Garth, smiling at the Vicar, ""that we are going to have enough to bring up the boys well and to keep Mary at home.""",3
19060127,"""HE""","""HIM""",090,,middlemarch_sent2218_0,NULL,-2.0,"investigate, not specified below",0.65625,0.0416666666667,0.608333333333,"""And he will not like having things raked up against him,"" said Sir James.  ""There is the management of his estate.  They have begun upon that already.  And it really is painful for me to see.  It is a nuisance under one's very nose.  I do think one is bound to do the best for one's land and tenants, especially in these hard times.""",4
19080917,"""AN ORATORIO""","""HE""",043,,middlemarch_sent3182_0,NULL,2.8,host a visit,-0.0833333333333,0.220833333333,0.6,"Caleb was very fond of music, and when he could afford it went to hear an oratorio that came within his reach, returning from it with a profound reverence for this mighty structure of tones, which made him sit meditatively, looking on the floor and throwing much unutterable language into his outstretched hands.",5
19080917,"""HE""","""AN ORATORIO""",042,,middlemarch_sent3182_0,NULL,1.9,make a visit,-0.0833333333333,0.220833333333,0.6,"Caleb was very fond of music, and when he could afford it went to hear an oratorio that came within his reach, returning from it with a profound reverence for this mighty structure of tones, which made him sit meditatively, looking on the floor and throwing much unutterable language into his outstretched hands.",6
19080920,"""THEY BEGIN?IT""",WEUREB,043,,middlemarch_sent3185_0,NULL,2.8,host a visit,0.40625,-0.102380952381,0.472619047619,"""The cows will all cast their calves, brother,"" said Mrs. Waule, in a tone of deep melancholy, ""if the railway comes across the Near Close; and I shouldn't wonder at the mare too, if she was in foal.  It's a poor tale if a widow's property is to be spaded away, and the law say nothing to it.  What's to hinder 'em from cutting right and left if they begin?  It's well known, _I_ can't fight.""",7
19080920,WEUREB,"""THEY BEGIN?IT""",042,,middlemarch_sent3185_0,NULL,1.9,make a visit,0.40625,-0.102380952381,0.472619047619,"""The cows will all cast their calves, brother,"" said Mrs. Waule, in a tone of deep melancholy, ""if the railway comes across the Near Close; and I shouldn't wonder at the mare too, if she was in foal.  It's a poor tale if a widow's property is to be spaded away, and the law say nothing to it.  What's to hinder 'em from cutting right and left if they begin?  It's well known, _I_ can't fight.""",8
19080920,"""CLOSE""","""THE RAILWAY""",043,,middlemarch_sent3185_0,NULL,2.8,host a visit,0.40625,-0.102380952381,0.472619047619,"""The cows will all cast their calves, brother,"" said Mrs. Waule, in a tone of deep melancholy, ""if the railway comes across the Near Close; and I shouldn't wonder at the mare too, if she was in foal.  It's a poor tale if a widow's property is to be spaded away, and the law say nothing to it.  What's to hinder 'em from cutting right and left if they begin?  It's well known, _I_ can't fight.""",9
19080920,"""THE RAILWAY""","""CLOSE""",042,,middlemarch_sent3185_0,NULL,1.9,make a visit,0.40625,-0.102380952381,0.472619047619,"""The cows will all cast their calves, brother,"" said Mrs. Waule, in a tone of deep melancholy, ""if the railway comes across the Near Close; and I shouldn't wonder at the mare too, if she was in foal.  It's a poor tale if a widow's property is to be spaded away, and the law say nothing to it.  What's to hinder 'em from cutting right and left if they begin?  It's well known, _I_ can't fight.""",10
19080919,"""THIS CONCLUSION""","""--- THE SLOWER WITS MRS. WAULE , WHO BOTH OCCUPIED LAND OF THEIR OWN""",173,,middlemarch_sent3184_0,NULL,-5.0,"arrest, detain, or charge with legal action",0.0166666666667,0.204375,0.54875,"But the slower wits, such as Mr. Solomon and Mrs. Waule, who both occupied land of their own, took a long time to arrive at this conclusion, their minds halting at the vivid conception of what it would be to cut the Big Pasture in two, and turn it into three-cornered bits, which would be ""nohow;"" while accommodation-bridges and high payments were remote and incredible.",11
19101126,"""THIS""","""YOU""",043,,middlemarch_sent3982_0,NULL,2.8,host a visit,0.535714285714,-0.425,0.95,"""You have been led to this, I apprehend, by some slanders concerning me uttered by that unhappy creature,"" said Bulstrode, anxious now to know the utmost.",12
19101126,"""YOU""","""THIS""",042,,middlemarch_sent3982_0,NULL,1.9,make a visit,0.535714285714,-0.425,0.95,"""You have been led to this, I apprehend, by some slanders concerning me uttered by that unhappy creature,"" said Bulstrode, anxious now to know the utmost.",13
19101130,"""MR. GARTH.BUT I""","""YOU.I""",010,,middlemarch_sent3986_0,NULL,0.0,"make statement, not specified below",0.794117647059,-0.220089285714,0.419345238095,"""Very well, Mr. Garth.  But I must at least claim to know the worst that he has told you.  I must know what is the foul speech that I am liable to be the victim of,"" said Bulstrode, a certain amount of anger beginning to mingle with his humiliation before this quiet man who renounced his benefits.",14
19001121,"""WARNING.YOU""","""YOU""",100,,middlemarch_sent325_0,NULL,-5.0,"demand, not specified below",0.607142857143,0.1,0.05,"""Well, my dear, take warning.  You know the look of one now; when the next comes and wants to marry you, don't you accept him.""",15
19001121,"""WARNING.YOU""","""THE NEXT""",040,,middlemarch_sent325_0,NULL,1.0,"consult, not specified below",0.607142857143,0.1,0.05,"""Well, my dear, take warning.  You know the look of one now; when the next comes and wants to marry you, don't you accept him.""",16
19001123,"""ONE""","""HIM""",010,,middlemarch_sent327_0,NULL,0.0,"make statement, not specified below",0.0681818181818,0.0,0.5,"""No; one such in a family is enough.  So your sister never cared about Sir James Chettam?  What would you have said to _him_ for a brother-in-law?""",17
19080828,"""I""","""THE WRONG MAN""",051,,middlemarch_sent3162_0,NULL,3.4,praise or endorse,0.271739130435,0.0,0.6,"""Oh, I make no vows; it might be a necessary economy.  It is lawful to marry again, I suppose; else we might as well be Hindoos instead of Christians.  Of course if a woman accepts the wrong man, she must take the consequences, and one who does it twice over deserves her fate. But if she can marry blood, beauty, and bravery--the sooner the better.""",18
19111121,"""A SMILE""","""THE GLOOM OF LYDGATE FACE.THE""",1711,,middlemarch_sent4342_0,NULL,-9.2,confiscate property,0.25,0.161597222222,0.451944444444,"A smile broke through the gloom of Lydgate's face.  The childlike grave-eyed earnestness with which Dorothea said all this was irresistible--blent into an adorable whole with her ready understanding of high experience.  (Of lower experience such as plays a great part in the world, poor Mrs. Casaubon had a very blurred shortsighted knowledge, little helped by her imagination.) But she took the smile as encouragement of her plan.",19
19111122,"""YOU""","""I""",046,,middlemarch_sent4343_0,NULL,7.0,engage in negotiation,0.125,0.45,0.5,"""I think you see now that you spoke too scrupulously,"" she said, in a tone of persuasion.  ""The hospital would be one good; and making your life quite whole and well again would be another.""",20
19111122,"""I""","""YOU""",046,,middlemarch_sent4343_0,NULL,7.0,engage in negotiation,0.125,0.45,0.5,"""I think you see now that you spoke too scrupulously,"" she said, in a tone of persuasion.  ""The hospital would be one good; and making your life quite whole and well again would be another.""",21
19080120,"""HE""","""DOROTHEA""",010,,middlemarch_sent2941_0,NULL,0.0,"make statement, not specified below",0.15,0.25,0.5,"He had already said to Dorothea, ""I don't feel bound to give up St. Botolph's. It is protest enough against the pluralism they want to reform if I give somebody else most of the money.  The stronger thing is not to give up power, but to use it well.""",22
19080903,"""CELIA""","""DOROTHEA""",010,,middlemarch_sent3168_0,NULL,0.0,"make statement, not specified below",0.131578947368,-0.0152777777778,0.419444444444,"Later in the evening, after Mrs. Cadwallader was gone, Celia said privately to Dorothea, ""Really, Dodo, taking your cap off made you like yourself again in more ways than one.  You spoke up just as you used to do, when anything was said to displease you.  But I could hardly make out whether it was James that you thought wrong, or Mrs. Cadwallader.""",23
19121228,"""THE FATAL BEN""","""THE DOOR""",040,,middlemarch_sent4745_0,NULL,1.0,"consult, not specified below",0.5,0.3,0.375,"The spirit of joy began to laugh more decidedly in Mary's eyes, but the fatal Ben came running to the door with Brownie yapping behind him, and, bouncing against them, said--",24
19100112,"""SHE""","""I""",010,,middlemarch_sent3664_0,NULL,0.0,"make statement, not specified below",0.541666666667,0.0,0.0,"""Presently,"" said Dorothea.  Then turning to Will, she said, ""I have some memoranda to write for the housekeeper.""",25
19090401,"""I""","""MORE""",040,,middlemarch_sent3378_0,NULL,1.0,"consult, not specified below",0.297619047619,0.175,0.6,"""I wish you would talk more to the Captain at dinner, Tertius,"" said Rosamond, one evening when the important guest was gone to Loamford to see some brother officers stationed there.  ""You really look so absent sometimes--you seem to be seeing through his head into something behind it, instead of looking at him.""",26
