date,actor1,actor2,goldstein_code,issue,sentence_number,no_idea,goldstein_score,event_description,modality,polarity,subjectivity,orignal_text,num
19100110,"""THEY""","""THE EDGE OF THE BLACK MUD POOL""",042,,rainbow_sent3662_0,NULL,1.9,make a visit,-0.0657894736842,-0.0166666666667,0.552380952381,"They had arrived at the edge of the black mud pool: that underground presence, old as Earth, partly enclosed back at the Spa and a name given to. ... The offering was to be a boy, lingering after all the others had gone. His hair was cold snow. Morituri could only hear fragments of what they said. The boy wasn't afraid of her at first. He might not have recognized her from his dreams. It would have been",1
19100110,"""THE EDGE OF THE BLACK MUD POOL""","""THEY""",043,,rainbow_sent3662_0,NULL,2.8,host a visit,-0.0657894736842,-0.0166666666667,0.552380952381,"They had arrived at the edge of the black mud pool: that underground presence, old as Earth, partly enclosed back at the Spa and a name given to. ... The offering was to be a boy, lingering after all the others had gone. His hair was cold snow. Morituri could only hear fragments of what they said. The boy wasn't afraid of her at first. He might not have recognized her from his dreams. It would have been",2
19100108,"""HE""","""AN EVENING AT A CABARET DANCING""",020,,rainbow_sent3660_0,NULL,3.0,"appeal, not specified below",0.233333333333,0.150740740741,0.45987654321,"Suzanne, out-of-date music, and yet, when bits of it found Morituri years later in the street, over the radio, they never failed to bring back the unwritten taste of that night, the three of them at the edge of a deepness none could sound . . . some last reprise of the European thirties he had never known . . . which are also for him a particular room, a salon in the afternoon: lean girls in gowns, mascara all around their eyes, the men with faces shaven very smooth, film-star polished . . . not operetta but dance music here, sophisticated, soothing, a bit ""modern,"" dipping elegantly in the up-to-date melodic lines ... an upstairs room, with late sunlight coming in, deep carpets, voices saying nothing heavy or complex, smiles informed and condescending. He has awakened that morning in a soft bed, he looks forward to an evening at a cabaret dancing to popular love songs played in just such a mannered and polished style. His afternoon salon with its held tears, its smoke, its careful passion has been a way-station between the comfortable morning and the comfortable night: it was Europe, it was the smoky, citied fear of death, and most perilous it was Margherita's scrutable eyes, that lost encounter in the Kursaal, black eyes among those huddled jewels and nodding old generals, in the roar from the Brodelbrunnen outside, filling the quiet spaces in the music as machinery was soon to fill the sky.",3
19100109,"""PROPHECY""","""HIM""",080,,rainbow_sent3661_2,NULL,5.0,"yield, not specified below",0.75,-0.105982905983,0.373931623932,"Next evening, Morituri followed her out for the last time. Down the worn paths, under the accustomed trees, past the German goldfish pool that reminded him of home, across the golf links, the day's last white-mustached men struggling up out of traps and hazards, their caddies standing at allegorical attention in the glow of the sunset, the bundled clubs in Fascist silhouette. . . . Twilight came down on Bad Karma that night pallid and violent: the horizon was a Biblical disaster. Greta had dressed all in black, a hat with a veil covering most of her hair, purse slung by a long strap over one shoulder. As choices of a destination narrowed to one, as Morituri ran into snares the night began to lay out for him, prophecy filled him like the river wind: where she had been on her absences, how the children in those headlines had—",4
19031101,"""THEY""",USA,020,,rainbow_sent1400_0,NULL,3.0,"appeal, not specified below",0.0277777777778,-0.117195767196,0.36335978836,"""Aw, hey . . ."" That sneak. He climbed down the tree, not up! He's down there now, watching! They knew Slothrop would choose up, not down—they were counting on that damned American reflex all right, bad guy in a chase always heads up—why up? and they sawed the trunk nearly through, a-and now—",5
19031103,"""THERE""","""FLOWERED HATS""",010,,rainbow_sent1402_1,NULL,0.0,"make statement, not specified below",0.423913043478,0.0623106060606,0.364393939394,"""Well,"" opines Slothrop, ""I had better, uh . . ."" About then the point of the tree cracks through, and with a great rustle and whoosh, a whirl of dark branches and needles breaking him up into a few thousand sharp falling pieces, down topples Slothrop, bouncing from limb to limb, trying to hold the purple sheet over his head for a parachute. Oof. Nnhh. About halfway to the ground, terrace-level or so, he happens to look down, and there observes many senior officers in uniform and plump ladies in white batiste frocks and flowered hats. They are playing croquet. It appears Slothrop will land somewhere in their midst. He closes his eyes and tries to imagine a tropical island, a secure room, where this cannot be happening. He opens them about the time he hits the ground. In the silence, before he can even register pain, comes the loud thock of wood hitting wood. A bright-yellow striped ball conies rolling past an inch from Slothrop's nose and on out of sight, followed a second later by a burst of congratulations, ladies enthusiastic, footfalls heading his way. Seems he's, unnhh, wrenched his back a little, but doesn't much feel like moving anyhow. Presently the sky is obscured by faces of some General and Teddy Bloat, gazing curiously down.",6
19031103,"""--- A WHIRL NEEDLES""","""HIM""",1711,,rainbow_sent1402_0,NULL,-9.2,confiscate property,0.423913043478,0.0623106060606,0.364393939394,"""Well,"" opines Slothrop, ""I had better, uh . . ."" About then the point of the tree cracks through, and with a great rustle and whoosh, a whirl of dark branches and needles breaking him up into a few thousand sharp falling pieces, down topples Slothrop, bouncing from limb to limb, trying to hold the purple sheet over his head for a parachute. Oof. Nnhh. About halfway to the ground, terrace-level or so, he happens to look down, and there observes many senior officers in uniform and plump ladies in white batiste frocks and flowered hats. They are playing croquet. It appears Slothrop will land somewhere in their midst. He closes his eyes and tries to imagine a tropical island, a secure room, where this cannot be happening. He opens them about the time he hits the ground. In the silence, before he can even register pain, comes the loud thock of wood hitting wood. A bright-yellow striped ball conies rolling past an inch from Slothrop's nose and on out of sight, followed a second later by a burst of congratulations, ladies enthusiastic, footfalls heading his way. Seems he's, unnhh, wrenched his back a little, but doesn't much feel like moving anyhow. Presently the sky is obscured by faces of some General and Teddy Bloat, gazing curiously down.",7
19031103,"""--- A WHIRL BRANCHES""","""HIM""",1711,,rainbow_sent1402_0,NULL,-9.2,confiscate property,0.423913043478,0.0623106060606,0.364393939394,"""Well,"" opines Slothrop, ""I had better, uh . . ."" About then the point of the tree cracks through, and with a great rustle and whoosh, a whirl of dark branches and needles breaking him up into a few thousand sharp falling pieces, down topples Slothrop, bouncing from limb to limb, trying to hold the purple sheet over his head for a parachute. Oof. Nnhh. About halfway to the ground, terrace-level or so, he happens to look down, and there observes many senior officers in uniform and plump ladies in white batiste frocks and flowered hats. They are playing croquet. It appears Slothrop will land somewhere in their midst. He closes his eyes and tries to imagine a tropical island, a secure room, where this cannot be happening. He opens them about the time he hits the ground. In the silence, before he can even register pain, comes the loud thock of wood hitting wood. A bright-yellow striped ball conies rolling past an inch from Slothrop's nose and on out of sight, followed a second later by a burst of congratulations, ladies enthusiastic, footfalls heading his way. Seems he's, unnhh, wrenched his back a little, but doesn't much feel like moving anyhow. Presently the sky is obscured by faces of some General and Teddy Bloat, gazing curiously down.",8
19031103,"""THERE""","""WHITE BATISTE FROCKS""",010,,rainbow_sent1402_1,NULL,0.0,"make statement, not specified below",0.423913043478,0.0623106060606,0.364393939394,"""Well,"" opines Slothrop, ""I had better, uh . . ."" About then the point of the tree cracks through, and with a great rustle and whoosh, a whirl of dark branches and needles breaking him up into a few thousand sharp falling pieces, down topples Slothrop, bouncing from limb to limb, trying to hold the purple sheet over his head for a parachute. Oof. Nnhh. About halfway to the ground, terrace-level or so, he happens to look down, and there observes many senior officers in uniform and plump ladies in white batiste frocks and flowered hats. They are playing croquet. It appears Slothrop will land somewhere in their midst. He closes his eyes and tries to imagine a tropical island, a secure room, where this cannot be happening. He opens them about the time he hits the ground. In the silence, before he can even register pain, comes the loud thock of wood hitting wood. A bright-yellow striped ball conies rolling past an inch from Slothrop's nose and on out of sight, followed a second later by a burst of congratulations, ladies enthusiastic, footfalls heading his way. Seems he's, unnhh, wrenched his back a little, but doesn't much feel like moving anyhow. Presently the sky is obscured by faces of some General and Teddy Bloat, gazing curiously down.",9
19020727,"""WHAT""","""ITSELF""",010,,rainbow_sent938_0,NULL,0.0,"make statement, not specified below",0.25,0.0625,0.43125,"Slothrop ought to be on the Riviera by now, warm, fed, well-fucked. But out in this late English winter the dogs, thrown over, are still ranging the back-streets and mews, sniffing the dustbins, skidding on carpets of snow, fighting, fleeing, shivering in their wet pools of Prussian blue ... seeking to avoid what cannot be smelled or seen, what announces itself with the roar of a predator so absolute they sink to the snow whining and roll over to give It their soft and open bellies. . . .",10
19140906,"""HE""","""ACCIDENT""",042,,rainbow_sent5362_2,NULL,1.9,make a visit,0.410714285714,-0.000894660894661,0.313448773449,"The German U-boats communicated on a wave length of 28,000 meters, which is down around 10 kc. A half-wave antenna for that'd halfta be 9 miles high, or long, and even folded here and there it is still some antenna. It is located at Magdeburg. So is the headquarters of the German branch of Jehovah's Witnesses. So, for a time, is Slothrop, attempting to get through to the Argentine anarchist U-boat, now in unknown waters. The reason why is no longer clear to him. He was either visited again in some way by Squalidozzi, or he came upon Squalidozzi one day by accident, or he found, in some lint-picking at-tentionless search through pockets, rags or bedroll, the message he was given, back at the green edge of Aries, at the Cafe 1'Eclipse long ago in Geneva. All he knows is that finding Squalidozzi, right now, is his overriding need.",11
19140906,"""SOME WAY BY SQUALIDOZZI""","""HE""",043,,rainbow_sent5362_2,NULL,2.8,host a visit,0.410714285714,-0.000894660894661,0.313448773449,"The German U-boats communicated on a wave length of 28,000 meters, which is down around 10 kc. A half-wave antenna for that'd halfta be 9 miles high, or long, and even folded here and there it is still some antenna. It is located at Magdeburg. So is the headquarters of the German branch of Jehovah's Witnesses. So, for a time, is Slothrop, attempting to get through to the Argentine anarchist U-boat, now in unknown waters. The reason why is no longer clear to him. He was either visited again in some way by Squalidozzi, or he came upon Squalidozzi one day by accident, or he found, in some lint-picking at-tentionless search through pockets, rags or bedroll, the message he was given, back at the green edge of Aries, at the Cafe 1'Eclipse long ago in Geneva. All he knows is that finding Squalidozzi, right now, is his overriding need.",12
19140906,"""HE""","""SOME WAY BY SQUALIDOZZI""",042,,rainbow_sent5362_2,NULL,1.9,make a visit,0.410714285714,-0.000894660894661,0.313448773449,"The German U-boats communicated on a wave length of 28,000 meters, which is down around 10 kc. A half-wave antenna for that'd halfta be 9 miles high, or long, and even folded here and there it is still some antenna. It is located at Magdeburg. So is the headquarters of the German branch of Jehovah's Witnesses. So, for a time, is Slothrop, attempting to get through to the Argentine anarchist U-boat, now in unknown waters. The reason why is no longer clear to him. He was either visited again in some way by Squalidozzi, or he came upon Squalidozzi one day by accident, or he found, in some lint-picking at-tentionless search through pockets, rags or bedroll, the message he was given, back at the green edge of Aries, at the Cafe 1'Eclipse long ago in Geneva. All he knows is that finding Squalidozzi, right now, is his overriding need.",13
19140906,"""ACCIDENT""","""HE""",043,,rainbow_sent5362_2,NULL,2.8,host a visit,0.410714285714,-0.000894660894661,0.313448773449,"The German U-boats communicated on a wave length of 28,000 meters, which is down around 10 kc. A half-wave antenna for that'd halfta be 9 miles high, or long, and even folded here and there it is still some antenna. It is located at Magdeburg. So is the headquarters of the German branch of Jehovah's Witnesses. So, for a time, is Slothrop, attempting to get through to the Argentine anarchist U-boat, now in unknown waters. The reason why is no longer clear to him. He was either visited again in some way by Squalidozzi, or he came upon Squalidozzi one day by accident, or he found, in some lint-picking at-tentionless search through pockets, rags or bedroll, the message he was given, back at the green edge of Aries, at the Cafe 1'Eclipse long ago in Geneva. All he knows is that finding Squalidozzi, right now, is his overriding need.",14
19140909,"""THE ONLY PEOPLE""","""THESE DAYS""",040,,rainbow_sent5365_0,NULL,1.0,"consult, not specified below",0.375,0.0809523809524,0.519047619048,"But the only people—if any—apt to be communicating these days on 28,000 meters (the distance from Test Stand VII at Peenemünde to the Hafenstraße in Greifswald, where Slothrop in early August may see a particular newspaper photo), except for freak Argentine anarchists, are the undenazified Nazis still wandering around in unaccounted-for submarines holding their own secret shipboard tribunals against enemies of the Reich. So the closest thing in the Zone to an early Christian is put on to listen for news of unauthorized crucifixions.",15
19140909,"""ENEMIES OF THE REICH""","""UNACCOUNTED-FOR SUBMARINES""",173,,rainbow_sent5365_0,NULL,-5.0,"arrest, detain, or charge with legal action",0.375,0.0809523809524,0.519047619048,"But the only people—if any—apt to be communicating these days on 28,000 meters (the distance from Test Stand VII at Peenemünde to the Hafenstraße in Greifswald, where Slothrop in early August may see a particular newspaper photo), except for freak Argentine anarchists, are the undenazified Nazis still wandering around in unaccounted-for submarines holding their own secret shipboard tribunals against enemies of the Reich. So the closest thing in the Zone to an early Christian is put on to listen for news of unauthorized crucifixions.",16
19140908,"""THESE""","""ANTISOCIAL AND MINDLESS PLEASURES""",1711,,rainbow_sent5364_0,NULL,-9.2,confiscate property,0.5,0.133333333333,0.594444444444,"Slothrop has listened to is clear who's trying whom for what, but remember that these are mostly brains ravaged by antisocial and mindless pleasures.",17
